Регион;Округ;Год;Направления реализации государственной молодeжной политики;№ строки; Бюджет СРФ, руб ; Бюджет МО, руб ; Кол-во грантов ; Бюджет грантов, руб ; Численность молодeжи, задействованной в программных мероприятиях по направлению ; Количество детских и молодeжных общественных объединений, работающих по данному  ;;;
Алтайский край;СФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; 7 176 890 ; 123 085 ; 4 ; 35 485 ; 3 845 ; 44 ;;;
Алтайский край;СФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ; -   ; -   ;;;
Алтайский край;СФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; -   ; -   ; -   ; -   ; 10 ; -   ;;;
Алтайский край;СФО;2021;      аэрокосмос;4; -   ; -   ; -   ; -   ; 28 ; 1 ;;;
Алтайский край;СФО;2021;      сельское хозяйство;5; -   ; 1 000 ; -   ; -   ; 247 ; -   ;;;
Алтайский край;СФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; -   ; 86 600 ; -   ; -   ; 1 879 ; 28 ;;;
Алтайский край;СФО;2021;      другое;7; 7 176 890 ; 35 485 ; 4 ; 35 485 ; 1 681 ; 15 ;;;
Алтайский край;СФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8; 50 000 ; 194 948 ; 1 ; 119 000 ; 3 431 ; 73 ;;;
Алтайский край;СФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; 1 006 370 ; 151 900 ; 3 ; 106 900 ; 6 214 ; 141 ;;;
Алтайский край;СФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10; 4 049 340 ; 16 700 ; -   ; -   ; 45 ;;;;
Алтайский край;СФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11; 26 949 320 ; 39 200 ; -   ; -   ; 3 113 ; 18 ;;;
Алтайский край;СФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12; 300 000 ; 630 502 ; 1 ; 50 000 ; 6 969 ; 194 ;;;
Алтайский край;СФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13; 2 305 420 ; 1 293 410 ; 7 ; 184 519 ; 145 450 ; 729 ;;;
Алтайский край;СФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 4 500 870 ; 1 654 282 ; 2 ; 86 000 ; 9 085 ; 95 ;;;
Алтайский край;СФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; -   ; 1 832 411 ; 18 ; 1 599 408 ; 41 086 ;;;;
Алтайский край;СФО;2021;Формирование у молодeжи семейных ценностей;16; 210 090 ; 281 176 ; 4 ; 209 581 ; 16 215 ; 102 ;;;
Алтайский край;СФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; 1 743 740 ; 3 780 036 ; 5 ; 190 000 ; 124 000 ; 634 ;25900;;
Алтайский край;СФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18; 511 200 ; 946 568 ; 3 ; 150 000 ; 8 673 ; 153 ;;;
Алтайский край;СФО;2021;      поисковых отрядов и объединений;19; 710 420 ; 130 000 ; -   ; -   ; 1 297 ; 14 ;;;
Алтайский край;СФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20; 11 000 ; 92 000 ; -   ; -   ; 2 549 ; 57 ;;;
Алтайский край;СФО;2021;      молодeжных казачьих объединений;21; -   ; -   ; -   ; -   ; 253 ; 12 ;;;
Алтайский край;СФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22; 92 190 ; 390 010 ; -   ; -   ; 30 875 ; 354 ;;;
Алтайский край;СФО;2021;      другие;23; 418 930 ; 2 221 458 ; 2 ; 40 000 ; 80 353 ; 44 ;;;
Алтайский край;СФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24; 1 300 000 ; 536 621 ; 1 ; 49 581 ; 35 018 ; 171 ;;;
Алтайский край;СФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25; 9 589 740 ; 608 421 ; 5 ; 159 000 ; 92 522 ; 640 ;;;
Алтайский край;СФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26; 89 320 ; 4 270 546 ; 9 ; 358 000 ; 98 668 ; 675 ;;;
Алтайский край;СФО;2021;Развитие молодeжного самоуправления;27; 566 950 ; 230 828 ; 1 ; 24 000 ; 8 418 ;;;;
Амурская область;ДФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; -   ; 3 833 196 ; 2 ; 245 700 ; 12 343 ; 55 ;;;
Амурская область;ДФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ; 131 ; 1 ;;;
Амурская область;ДФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; -   ; -   ; -   ; -   ; -   ; -   ;;;
Амурская область;ДФО;2021;      аэрокосмос;4; -   ; -   ; 2 ; 245 700 ; 178 ; 2 ;;;
Амурская область;ДФО;2021;      сельское хозяйство;5; -   ; 20 000 ; -   ; -   ; 220 ; 1 ;;;
Амурская область;ДФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; -   ; 3 384 613 ; -   ; -   ; 2 529 ; 40 ;;;
Амурская область;ДФО;2021;      другое;7; -   ; 428 583 ; -   ; -   ; 9 285 ; 11 ;;;
Амурская область;ДФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8; -   ; 244 344 ; 1 ; 186 220 ; 4 005 ; 42 ;;;
Амурская область;ДФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; -   ; 331 709 ; -   ; -   ; 1 223 ; 57 ;;;
Амурская область;ДФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10; -   ; 1 700 ; -   ; -   ; 56 ;;;;
Амурская область;ДФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11; -   ; -   ; -   ; -   ; 704 ; 1 ;;;
Амурская область;ДФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12; -   ; 612 472 ; 2 ; 20 000 ; 7 542 ; 50 ;;;
Амурская область;ДФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13; 580 000 ; 1 150 067 ; 3 ; 60 000 ; 223 174 ; 461 ;;;
Амурская область;ДФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 2 007 150 ; 462 808 ; -   ; -   ; 13 959 ; 44 ;;;
Амурская область;ДФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; -   ; 559 439 ; 3 ; 293 830 ; 14 085 ;;;;
Амурская область;ДФО;2021;Формирование у молодeжи семейных ценностей;16; -   ; 777 447 ; -   ; -   ; 8 679 ; 52 ;;;
Амурская область;ДФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; 1 070 000 ; 1 694 369 ; -   ; -   ; 36 178 ; 284 ;;;
